ANO,REGIAO,UF,MUNICIPIO,AREA,DEPENDENCIA_ADM,LOCALIZACAO,NOTA_LP,NOTA_MT,SEXO,RACA_COR,MES_NASC,ANO_NASC,COMPUTADOR,ESC_MAE,ESC_PAI,USO_TEMPO_TELAS,AFAZERES_DOM,TRABALHO,PERSPECTIVAS
2017,Nordeste,PB,2500502,Interior,Municipal,Urbana,332.269847,247.66089,Feminino,Parda,Novembro,1998 ou antes, , ,Não sei,Menos de 1 hora, , , 
2017,Sudeste,RJ,3304904,Interior,Estadual,Urbana,261.950332,218.021077,Feminino,Branca,Abril,2000,Não tem,"Completou o Ensino Médio, mas não completou a Faculdade",Não sei,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Mais de 3 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,PE,2609154,Interior,Municipal,Urbana,158.465549,225.91503,Feminino, , , , , , , , , , 
2017,Sudeste,SP,3550308,Capital,Estadual,Urbana,297.451283,318.298621,Masculino,Parda,Janeiro,2001,"Sim, dois",Não sei,Não sei,Mais de 3 horas,Não faço trabalhos domésticos,Não,Continuar estudando e trabalhar
2017,Sudeste,RJ,3304557,Capital,Municipal,Urbana,285.93991,320.188843,Masculino,Branca,Julho,2003,"Sim, dois","Completou o Ensino Médio, mas não completou a Faculdade",Completou a Faculdade,Entre 1 e 2 horas,Menos de 1 hora,Não,Somente continuar estudando
2017,Norte,AM,1302603,Capital,Municipal,Rural,211.405422,213.59066,Feminino,Parda,Dezembro,2000,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não sei,Mais de 3 horas,Entre 1 e 2 horas,Não,Somente continuar estudando
2017,Sudeste,RJ,3300209,Interior,Municipal,Rural,236.740821,231.733366,Feminino,Parda,Agosto,2001,Não tem,Não sei,Não sei,"Mais de 2 horas, até 3 horas",Entre 1 e 2 horas,Não,Ainda não sei
2017,Nordeste,PE,2604205,Interior,Municipal,Urbana,162.40555,232.436268,Masculino,Indígena,Abril,2003,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não sei,Menos de 1 hora,Não faço trabalhos domésticos,Não,Ainda não sei
2017,Sul,SC,4212650,Interior,Municipal,Rural,306.39547,255.448424,Feminino,Branca,Novembro,2002,"Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou o Ensino Médio, mas não completou a Faculdade",Mais de 3 horas,Entre 1 e 2 horas,Não,Continuar estudando e trabalhar
2017,Nordeste,BA,2930303,Interior,Municipal,Urbana,184.837364,149.396477,Masculino,Branca,Setembro,1999,Não tem,"Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental",Não completou a 4.ª série/5.º ano do Ensino Fundametal,"Não vejo TV, não navego na internet e não jogo jogos eletrônicos",Não faço trabalhos domésticos,Não,Somente continuar estudando
