"ANO","REGIAO","UF","MUNICIPIO","AREA","DEPENDENCIA_ADM","LOCALIZACAO","NOTA_LP","NOTA_MT","SEXO","RACA_COR","MES_NASC","ANO_NASC","COMPUTADOR","ESC_MAE","ESC_PAI","USO_TEMPO_TELAS","AFAZERES_DOM","TRABALHO","PERSPECTIVAS"
2017,"Nordeste","MA",2105302,"Interior","Municipal","Urbana",251.279739,262.037347,"Feminino","Parda","Março","2003","Sim, um","Não completou a 4.ª série/5.º ano do Ensino Fundamental","Não sei","Entre 1 e 2 horas","Mais de 3 horas","Não","Continuar estudando e trabalhar"
2017,"Nordeste","RN",2403251,"Interior","Estadual","Urbana",264.228167,300.006627,"Feminino","Branca","Outubro","2002","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Entre 1 e 2 horas","Não","Somente continuar estudando"
2017,"Centro-Oeste","DF",5300108,"Capital","Estadual","Urbana",220.827324,262.768251,"Feminino","Parda","Fevereiro","2003","Não tem","Não sei","Não sei","Mais de 3 horas","Entre 1 e 2 horas","Não","Continuar estudando e trabalhar"
2017,"Centro-Oeste","GO",5211909,"Interior","Estadual","Urbana",246.575317,228.255074,"Masculino","Parda","Agosto","2002","Não tem","Não sei","Não sei","Entre 1 e 2 horas","Não faço trabalhos domésticos","Não","Ainda não sei"
2017,"Nordeste","CE",2304400,"Capital","Municipal","Urbana",253.827477,247.70566,"Masculino","Parda","Setembro","2001","Não tem","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Nunca estudou","Não vejo TV, não navego na internet e não jogo jogos eletrônicos","Menos de 1 hora","Não","Continuar estudando e trabalhar"
2017,"Sudeste","RJ",3304557,"Capital","Municipal","Urbana",243.8423,281.094172,"Masculino","Preta","Agosto","2002","Sim, um","Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade","Mais de 3 horas","Não faço trabalhos domésticos","Não","Continuar estudando e trabalhar"
2017,"Sudeste","SP",3508702,"Interior","Estadual","Urbana",284.653095,274.84541,"Feminino","Branca","Fevereiro","2003","Sim, um","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Completou a 4.ª série/5.º ano, mas não completou a 8.ª série/9.º ano do Ensino Fundamental","Mais de 2 horas, até 3 horas","Mais de 2 horas, até 3 horas","Não","Continuar estudando e trabalhar"
2017,"Norte","PA",1502152,"Interior","Municipal","Urbana",160.48158,235.11474,"Feminino"," ","Janeiro","2002","Não tem","Completou o Ensino Médio, mas não completou a Faculdade","Não sei","Mais de 3 horas","Não faço trabalhos domésticos","Não","Ainda não sei"
2017,"Nordeste","MA",2101251,"Interior","Municipal","Urbana",300.066675,261.039166,"Feminino","Parda","Dezembro","2002","Não tem","Completou a 8.ª série/9.º ano do Ensino Fundamental, mas não completou o Ensino Médio","Não sei","Menos de 1 hora","Menos de 1 hora","Não","Somente continuar estudando"
2017,"Sul","PR",4101309,"Interior","Estadual","Rural",299.456957,297.660826,"Masculino","Branca","Outubro","2003","Não tem","Nunca estudou","Não sei","Não vejo TV, não navego na internet e não jogo jogos eletrônicos","Não faço trabalhos domésticos","Não","Ainda não sei"
